Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2022-09-12,,,0.02,0
2022-09-13,,3568.899902,0.02,1
2022-09-14,3421.300049,,0.02,1
2022-09-15,3421.300049,,0.04,0
2022-09-16,3435.16604508,,0.06,0
2022-09-19,3461.0730794352,,0.06,0
2022-09-20,3485.4256917290877,,0.08,0
2022-09-21,3517.3916363907606,,0.08,0
2022-09-22,3546.8003054795,,0.08,0
2022-09-23,3571.25,,0.08,0
2022-09-26,,3885.0,0.02,1
2022-09-27,,3877.94,0.04,0
2022-09-28,,3862.25640392,0.04,0
2022-09-29,,3847.2001516832,0.06,0
2022-09-30,,3822.984148462208,0.08,0
2022-10-03,,3786.8334244252314,0.1,0
2022-10-04,,3719.1700770827083,0.1,0
2022-10-06,,3658.2730644744374,0.1,0
2022-10-07,,3603.4657531269936,0.1,0
2022-10-10,,3554.1391729142942,0.1,0
2022-10-11,,3509.745250722865,0.1,0
2022-10-12,,3469.7907207505787,0.1,0
2022-10-13,,3433.8316437755207,0.1,0
2022-10-14,,3401.4684744979686,0.1,0
2022-10-17,,3372.3416221481716,0.1,0
2022-10-18,,3346.1274550333546,0.1,0
2022-10-19,,3322.5347046300194,0.1,0
2022-10-20,3110.199951,,0.02,1
2022-10-21,3115.29595198,,0.04,0
2022-10-24,3125.9641139008,,0.04,0
2022-10-25,3136.205549344768,,0.04,0
2022-10-27,3146.037327370977,,0.04,0
2022-10-28,3155.475834276138,,0.06,0
2022-10-31,3169.4242812795696,,0.06,0
2022-11-01,3182.5358214627954,,0.08,0
2022-11-02,3216.528951825772,,0.1,0
2022-11-03,3257.3910468431945,,0.1,0
2022-11-04,3294.166932358875,,0.12000000000000001,0
2022-11-07,3360.84290635581,,0.14,0
2022-11-09,3452.2428926059965,,0.16,0
2022-11-10,3547.5640297890372,,0.16,0
2022-11-11,3627.6337850227915,,0.18,0
2022-11-14,3703.470694898689,,0.19999999999999998,0
2022-11-15,3778.3765559189515,,0.19999999999999998,0
2022-11-16,3838.301244735161,,0.2,0
2022-11-17,3863.550049,,0.2,0
2022-11-18,3863.550049,,0.2,0
2022-11-21,3900.0,,0.2,0
2022-11-22,3921.949951,,0.2,0
2022-11-23,,4096.0,0.02,1
2022-11-24,,4091.54,0.04,0
2022-11-25,,4080.7183999999997,0.04,0
2022-11-28,,4070.329664,0.04,0
2022-11-29,,4060.3564774399997,0.04,0
2022-11-30,,4050.7822183423996,0.04,0
2022-12-01,,4041.5909296087034,0.04,0
2022-12-02,,4032.767292424355,0.04,0
2022-12-05,,4024.296600727381,0.06,0
2022-12-06,3810.050049,,0.02,1
2022-12-07,3810.050049,,0.04,0
2022-12-08,3819.96404312,,0.04,0
2022-12-09,3829.4814774752,,0.06,0
2022-12-12,3845.3525888266877,,0.06,0
2022-12-13,3860.2714334970865,,0.06,0
2022-12-14,3874.295147487261,,0.06,0
2022-12-15,3887.4774386380254,,0.06,0
2022-12-16,3899.868792319744,,0.06,0
2022-12-19,3911.5166647805595,,0.08,0
2022-12-20,3926.915331598115,,0.1,0
2022-12-21,,4190.0,0.02,1
2022-12-22,,4190.0,0.04,0
2022-12-23,,4190.0,0.06,0
2022-12-26,,4155.60800294,0.06,0
2022-12-27,,4123.2795257036,0.06,0
2022-12-28,,4092.8907571013838,0.06,0
2022-12-29,,4064.3253146153006,0.06,0
2022-12-30,,4037.4737986783825,0.06,0
2023-01-02,,4012.23337369768,0.06,0
2023-01-03,,3988.507374215819,0.06,0
2023-01-04,,3966.2049347028697,0.06,0
2023-01-05,,3945.2406415606974,0.06,0
2023-01-06,,3925.5342060070557,0.06,0
2023-01-09,,3907.0101565866325,0.06,0
2023-01-10,,3889.5975501314347,0.08,0
2023-01-11,,3880.0,0.08,0
2023-01-12,,3862.050049,0.08,0
2023-01-13,,3837.48604508,0.08,0
2023-01-16,,3814.8871614736004,0.08,0
2023-01-17,,3794.096188555712,0.08,0
2023-01-18,,3774.968493471255,0.1,0
2023-01-19,,3750.1816539241295,0.12000000000000001,0
2023-01-20,,3711.363849573234,0.12000000000000001,0
2023-01-23,,3677.204181744446,0.14,0
2023-01-24,,3640.1526031602234,0.14,0
2023-01-25,,3608.288245577792,0.16,0
2023-01-27,,3561.3621262853453,0.18,0
2023-01-30,,3428.0,0.19999999999999998,0
2023-01-31,,3346.5,0.19999999999999998,0
2023-02-01,,3210.2,0.2,0
2023-02-02,,3073.600098,0.2,0
2023-02-03,,3010.75,0.2,0
2023-02-06,,2612.0900024000002,0.2,0
2023-02-07,,2293.16200432,0.2,0
2023-02-08,1017.450012,,0.02,1
2023-02-09,1041.5440098,,0.02,0
2023-02-10,1065.156127644,,0.02,0
2023-02-13,1088.29600313112,,0.02,0
2023-02-14,1110.9730811084976,,0.02,0
2023-02-15,1133.1966175263276,,0.02,0
2023-02-16,1154.9756832158012,,0.02,0
2023-02-17,1176.3191675914852,,0.02,0
2023-02-20,1197.2357822796555,,0.02,0
2023-02-21,1217.7340646740624,,0.02,0
2023-02-22,1237.8223814205812,,0.02,0
2023-02-23,1257.5089318321695,,0.02,0
2023-02-24,,2222.149902,0.02,1
2023-02-27,,2202.93890348,0.04,0
2023-02-28,,2160.0633493008,0.06,0
2023-03-01,,2096.684548342752,0.06,0
2023-03-02,,2037.1084754421868,0.06,0
2023-03-03,,1981.1069669156557,0.06,0
2023-03-06,1103.75,,0.02,1
2023-03-08,1124.375,,0.02,0
2023-03-09,1144.5875,,0.02,0
2023-03-10,1164.3957500000001,,0.02,0
2023-03-13,1183.807835,,0.02,0
2023-03-14,1202.8316783,,0.02,0
2023-03-15,1221.475044734,,0.02,0
2023-03-16,1239.74554383932,,0.02,0
2023-03-17,1257.6506329625336,,0.02,0
2023-03-20,1275.197620303283,,0.02,0
2023-03-21,1292.3936678972173,,0.02,0
2023-03-22,1309.245794539273,,0.02,0
2023-03-23,1325.7608786484875,,0.02,0
2023-03-24,1341.9456610755178,,0.02,0
2023-03-27,1357.8067478540074,,0.02,0
2023-03-28,1373.3506128969273,,0.02,0
2023-03-29,1388.5836006389886,,0.02,0
2023-03-31,1403.5119286262088,,0.02,0
2023-04-03,1418.1416900536847,,0.02,0
2023-04-05,1432.478856252611,,0.02,0
2023-04-06,1446.5292791275588,,0.02,0
2023-04-10,1460.2986935450076,,0.02,0
2023-04-11,1473.7927196741075,,0.02,0
2023-04-12,1487.0168652806253,,0.02,0
2023-04-13,1499.976527975013,,0.02,0
2023-04-17,1512.6769974155127,,0.02,0
2023-04-18,1525.1234574672023,,0.02,0
2023-04-19,1537.3209883178583,,0.02,0
2023-04-20,1549.2745685515013,,0.02,0
2023-04-21,1560.9890771804712,,0.02,0
2023-04-24,1572.4692956368617,,0.02,0
2023-04-25,1583.7199097241246,,0.02,0
2023-04-26,1594.745511529642,,0.02,0
2023-04-27,1605.5506012990493,,0.02,0
2023-04-28,1616.1395892730684,,0.02,0
2023-05-02,1626.516797487607,,0.02,0
2023-05-03,1636.6864615378547,,0.02,0
2023-05-04,1646.6527323070977,,0.02,0
2023-05-05,1656.4196776609558,,0.02,0
2023-05-08,1665.9912841077366,,0.02,0
2023-05-09,1675.371458425582,,0.02,0
2023-05-10,1684.5640292570704,,0.02,0
2023-05-11,1693.572748671929,,0.02,0
2023-05-12,1702.4012936984905,,0.02,0
2023-05-15,1711.0532678245206,,0.02,0
2023-05-16,1719.5322024680302,,0.02,0
2023-05-17,1727.8415584186696,,0.02,0
2023-05-18,1735.9847272502961,,0.02,0
2023-05-19,1743.9650327052902,,0.02,0
2023-05-22,1751.7857320511844,,0.04,0
2023-05-23,1775.594302769137,,0.06,0
2023-05-24,1834.6256416629888,,0.06,0
2023-05-25,1890.1151002232095,,0.06,0
2023-05-26,1942.275191269817,,0.06,0
2023-05-29,1991.305676853628,,0.06,0
2023-05-30,2037.3943333024104,,0.06,0
2023-05-31,2080.717670364266,,0.06,0
2023-06-01,2121.44160720241,,0.06,0
2023-06-02,2159.7221078302655,,0.06,0
2023-06-05,2195.7057784204494,,0.06,0
2023-06-06,2229.5304287752224,,0.06,0
2023-06-07,2261.325600108709,,0.06,0
2023-06-08,2291.2130611621865,,0.06,0
2023-06-09,2319.3072745524555,,0.06,0
2023-06-12,2345.715835139308,,0.06,0
2023-06-13,2370.5398820909495,,0.06,0
2023-06-14,2393.8744862254925,,0.06,0
2023-06-15,2415.809014111963,,0.06,0
2023-06-16,2436.427470325245,,0.06,0
2023-06-19,,2759.449951,0.02,1
2023-06-20,,2751.26095198,0.02,0
2023-06-21,,2743.2357329404,0.02,0
