Date,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-09-12,,,,,829.849976
2022-09-13,,,,,825.849976
2022-09-14,,,,,900.400024
2022-09-15,,,,,909.450012
2022-09-16,,,,,902.849976
2022-09-19,,,,,915.150024
2022-09-20,,,,,903.049988
2022-09-21,,,,,906.0
2022-09-22,,,796.149994,,871.75
2022-09-23,,,790.225006,,863.549988
2022-09-26,,,778.600006,,864.049988
2022-09-27,,,773.350006,,868.099976
2022-09-28,,,761.950012,,872.950012
2022-09-29,,,761.950012,,873.700012
2022-09-30,,,761.950012,,843.700012
2022-10-03,,,761.850006,,850.700012
2022-10-04,,,758.25,,851.0
2022-10-06,,,748.350006,,858.650024
2022-10-07,,,735.600006,,855.400024
2022-10-10,,,743.200012,,858.200012
2022-10-11,,,751.600006,,859.200012
2022-10-12,,,760.899994,,870.049988
2022-10-13,,,764.675018,,870.049988
2022-10-14,,,770.875,,874.700012
2022-10-17,,,776.350006,,878.549988
2022-10-18,,,782.600006,765.300018,887.75
2022-10-19,,,790.375,773.075012,891.700012
2022-10-20,,,791.725006,773.075012,892.549988
2022-10-21,,,840.25,806.850006,901.25
2022-10-24,,,850.950012,813.075012,903.849976
2022-10-25,,,856.450012,813.075012,905.150024
2022-10-27,,,857.200012,813.825012,899.200012
2022-10-28,,,858.524994,813.825012,904.650024
2022-10-31,,,865.75,813.825012,914.650024
2022-11-01,,,868.425018,813.825012,939.349976
2022-11-02,,,868.450012,813.825012,933.700012
2022-11-03,,,887.899994,813.825012,938.650024
2022-11-04,,,887.975006,813.825012,944.599976
2022-11-07,,,887.975006,815.475006,942.400024
2022-11-09,,,887.975006,817.175018,938.150024
2022-11-10,,,879.5,820.5,935.099976
2022-11-11,,,879.5,825.975006,946.200012
2022-11-14,,,872.5,831.125,949.75
2022-11-15,,,860.875,831.125,932.299988
2022-11-16,,,860.875,832.475006,919.549988
2022-11-17,,,860.875,847.225006,906.599976
2022-11-18,,,860.875,851.700012,928.700012
2022-11-21,,,860.875,857.200012,932.200012
2022-11-22,,,859.0,857.200012,924.700012
2022-11-23,,,860.975006,858.524994,934.549988
2022-11-24,,,864.0,865.75,933.75
2022-11-25,773.950012,,869.5,868.425018,941.599976
2022-11-28,781.725006,,875.049988,868.450012,962.299988
