Date,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-09-12,,,,,783.400024
2022-09-13,,,,,792.900024
2022-09-14,,,,,797.450012
2022-09-15,,,,,802.099976
2022-09-16,,,,,802.299988
2022-09-19,,,,,817.099976
2022-09-20,,,,,816.849976
2022-09-21,,,,,832.0
2022-09-22,,,780.75,,835.549988
2022-09-23,,,782.850006,,809.849976
2022-09-26,,,775.100006,,818.650024
2022-09-27,,,775.100006,,816.400024
2022-09-28,,,775.100006,,822.700012
2022-09-29,,,775.100006,,819.049988
2022-09-30,,,781.100006,,825.75
2022-10-03,,,784.375,,826.900024
2022-10-04,,,784.975006,,821.900024
2022-10-06,,,784.975006,,835.25
2022-10-07,,,784.975006,,841.200012
2022-10-10,,,785.875,,846.150024
2022-10-11,,,785.875,,837.299988
2022-10-12,,,788.024994,,851.200012
2022-10-13,,,789.100006,,847.599976
2022-10-14,,,789.899994,,843.25
2022-10-17,,,788.299988,,848.349976
2022-10-18,,,787.849976,784.975006,846.849976
2022-10-19,,,778.674988,784.975006,837.400024
2022-10-20,,,778.674988,784.975006,835.849976
2022-10-21,,,781.349976,784.975006,848.75
2022-10-24,,,783.674988,784.975006,848.599976
2022-10-25,,,783.674988,784.975006,848.650024
2022-10-27,,,791.024994,787.700012,844.099976
2022-10-28,,,792.125,788.800018,833.349976
2022-10-31,,,801.225006,793.5,834.0
2022-11-01,,,809.875,797.325012,832.599976
2022-11-02,,,809.875,797.325012,834.900024
2022-11-03,,,815.600006,798.225006,828.400024
2022-11-04,,,820.075012,798.225006,838.049988
2022-11-07,,,820.075012,800.375,829.200012
2022-11-09,,,822.825012,800.649994,826.349976
2022-11-10,,,822.825012,800.649994,822.75
2022-11-11,,,822.825012,800.649994,840.400024
2022-11-14,,,822.825012,800.649994,828.950012
2022-11-15,,,821.475006,800.649994,814.0
2022-11-16,,,824.125,801.949982,816.599976
2022-11-17,,,829.200012,804.625,808.650024
2022-11-18,,,830.424988,805.849976,811.0
