,ISA_9,ISB_26
2023-09-12,880.3000030000001,848.200012
2023-09-13,880.3000030000001,849.625
2023-09-14,880.3000030000001,857.100006
2023-09-15,882.3874969999999,857.100006
2023-09-18,882.3874969999999,857.100006
2023-09-19,882.3625030000001,859.700012
2023-09-20,879.287491,860.200012
2023-09-21,877.087509,860.200012
2023-09-22,875.4875030000001,860.200012
2023-09-25,875.4875030000001,860.200012
2023-09-26,874.712509,860.200012
2023-09-27,874.712509,860.200012
2023-09-28,871.325012,860.200012
2023-09-29,870.337509,860.200012
2023-10-02,870.337509,860.200012
2023-10-03,870.337509,860.200012
2023-10-04,869.587509,861.100006
2023-10-05,869.587509,861.100006
2023-10-06,868.8625030000001,864.125
2023-10-09,868.8625030000001,864.125
2023-10-10,867.912491,865.900024
2023-10-11,867.649994,868.050018
2023-10-12,869.2624969999999,871.375
2023-10-13,869.587494,873.875
2023-10-16,871.3249969999999,874.225006
2023-10-17,871.737488,874.225006
