Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2022-09-12,,,0.02,0
2022-09-13,764.5,,0.04,0
2022-09-14,764.5,,0.04,0
2022-09-15,765.47600096,,0.06,0
2022-09-16,766.9864423424,,0.06,0
2022-09-19,768.406257241856,,0.06,0
2022-09-20,769.7408832473446,,0.08,0
2022-09-21,771.917613547557,,0.1,0
2022-09-22,774.4258521928014,,0.1,0
2022-09-23,,797.0,0.02,1
2022-09-26,,796.43400024,0.04,0
2022-09-27,,794.7046407104001,0.04,0
2022-09-28,,793.0444555619841,0.04,0
2022-09-29,,791.4506778195048,0.04,0
2022-09-30,753.200012,,0.02,1
2022-10-03,754.31601176,,0.04,0
2022-10-04,756.7653708096001,,0.06,0
2022-10-06,760.3644485610241,,0.06,0
2022-10-07,763.7475816473627,,0.06,0
2022-10-10,766.927726748521,,0.06,0
2022-10-11,769.9170631436098,,0.06,0
2022-10-12,,816.75,0.02,1
2022-10-13,,815.79900024,0.04,0
2022-10-14,,813.8730411904,0.06,0
2022-10-17,,810.823657998976,0.08,0
2022-10-18,,806.745763439058,0.08,0
2022-10-19,,802.9941004439333,0.08,0
2022-10-20,,799.5425704884187,0.08,0
2022-10-21,759.849976,,0.02,1
2022-10-24,760.709976,,0.04,0
2022-10-25,762.58157696,,0.04,0
2022-10-27,764.3783138816,,0.06,0
2022-10-28,767.847615768704,,0.08,0
2022-10-31,772.3718084272077,,0.1,0
2022-11-01,778.514626384487,,0.12000000000000001,0
2022-11-02,786.0668726583485,,0.12000000000000001,0
2022-11-03,792.7128493793467,,0.12000000000000001,0
2022-11-04,798.5613088938251,,0.12000000000000001,0
2022-11-07,803.707953266566,,0.12000000000000001,0
2022-11-09,808.2370003145782,,0.12000000000000001,0
2022-11-10,809.0,,0.12000000000000001,0
2022-11-11,812.89400144,,0.12000000000000001,0
2022-11-14,816.3207227072,,0.12000000000000001,0
2022-11-15,817.0,,0.12000000000000001,0
2022-11-16,817.0,,0.14,0
2022-11-17,820.78699832,,0.16,0
2022-11-18,825.3650824288,,0.18,0
2022-11-21,830.132363271616,,0.19999999999999998,0
2022-11-22,831.099976,,0.2,0
2022-11-23,835.0,,0.2,0
2022-11-24,,860.549988,0.02,1
2022-11-25,,860.0939882399999,0.02,0
2022-11-28,,860.0,0.04,0
2022-11-29,,860.0,0.06,0
2022-11-30,,858.5,0.08,0
2022-12-01,,856.42799808,0.08,0
2022-12-02,,854.5217563136,0.08,0
2022-12-05,,853.200012,0.08,0
2022-12-06,,851.950012,0.1,0
2022-12-07,,851.599976,0.1,0
2022-12-08,,849.4099795999999,0.12000000000000001,0
2022-12-09,,846.636780608,0.14,0
2022-12-12,,843.46063300288,0.14,0
2022-12-13,,840.7291460624767,0.16,0
2022-12-14,822.0,,0.02,1
2022-12-15,822.0,,0.02,0
2022-12-16,,842.0,0.02,1
2022-12-19,819.900024,,0.02,1
2022-12-20,819.900024,,0.02,0
2022-12-21,,845.049988,0.02,1
2022-12-22,,844.39598776,0.04,0
2022-12-23,,843.0001482496,0.06,0
2022-12-26,,840.7201393546239,0.08,0
2022-12-27,,837.554530126254,0.08,0
2022-12-28,,834.6421696361537,0.08,0
2022-12-29,,831.9627979852613,0.1,0
2022-12-30,760.099976,,0.02,1
2023-01-02,760.099976,,0.02,0
2023-01-03,761.3939762399999,,0.02,0
2023-01-04,762.6620964751999,,0.02,0
2023-01-05,763.9048543056958,,0.04,0
2023-01-06,766.348660133468,,0.04,0
2023-01-09,768.6947137281293,,0.04,0
2023-01-10,770.9469251790041,,0.06,0
2023-01-11,,826.099976,0.02,1
2023-01-12,,826.099976,0.02,0
2023-01-13,,824.61097696,0.02,0
2023-01-16,,823.1517579008,0.02,0
2023-01-17,,821.721723222784,0.02,0
2023-01-18,,820.3202892383283,0.02,0
2023-01-19,,818.9468839335617,0.02,0
2023-01-20,,817.6009467348905,0.02,0
2023-01-23,,816.2819282801927,0.02,0
2023-01-24,,814.9892901945889,0.02,0
2023-01-25,,813.7225048706971,0.02,0
2023-01-27,,812.4810552532831,0.02,0
2023-01-30,,811.2644346282175,0.02,0
2023-01-31,,810.0721464156532,0.02,0
2023-02-01,,808.9037039673401,0.02,0
2023-02-02,,807.7586303679933,0.02,0
2023-02-03,,806.6364582406335,0.02,0
2023-02-06,,805.5367295558208,0.02,0
2023-02-07,,804.4589954447043,0.02,0
2023-02-08,,803.4028160158102,0.02,0
2023-02-09,,802.367760175494,0.02,0
2023-02-10,,801.3534054519841,0.02,0
2023-02-13,,800.3593378229444,0.02,0
2023-02-14,,799.3851515464855,0.02,0
2023-02-15,,798.4304489955558,0.02,0
2023-02-16,,797.4948404956447,0.02,0
2023-02-17,,796.5779441657318,0.02,0
2023-02-20,,795.6793857624172,0.02,0
2023-02-21,,794.7987985271689,0.02,0
2023-02-22,,793.9358230366255,0.02,0
2023-02-23,,793.090107055893,0.02,0
2023-02-24,,792.2613053947751,0.02,0
2023-02-27,,791.4490797668797,0.04,0
2023-02-28,,789.3291170562045,0.04,0
2023-03-01,,787.2939528539563,0.04,0
2023-03-02,,785.340195219798,0.06,0
2023-03-03,,782.3677827866102,0.06,0
2023-03-06,,779.5737150994136,0.06,0
2023-03-08,,776.9472914734488,0.06,0
2023-03-09,735.799988,,0.02,1
2023-03-10,736.98398824,,0.02,0
2023-03-13,738.1443084752,,0.02,0
2023-03-14,739.281422305696,,0.02,0
2023-03-15,740.395793859582,,0.02,0
2023-03-16,741.4878779823904,,0.02,0
2023-03-17,,795.0,0.02,1
2023-03-20,,793.88300048,0.02,0
2023-03-21,,792.7883409504,0.02,0
2023-03-22,,791.715574611392,0.02,0
2023-03-23,,790.6642635991641,0.02,0
2023-03-24,,789.6339788071808,0.02,0
2023-03-27,,788.6242997110372,0.02,0
2023-03-28,,787.6348141968165,0.02,0
2023-03-29,,786.6651183928801,0.04,0
2023-03-31,,784.7525126971649,0.04,0
2023-04-03,,782.9164112292783,0.04,0
2023-04-05,,781.1537538201072,0.04,0
2023-04-06,,779.461602707303,0.04,0
2023-04-10,,777.8371376390108,0.04,0
2023-04-11,,776.299988,0.04,0
2023-04-12,,776.299988,0.04,0
2023-04-13,,776.0,0.04,0
2023-04-17,738.849976,,0.02,1
2023-04-18,739.8529764799999,,0.02,0
2023-04-19,740.8359169503999,,0.02,0
2023-04-20,741.799198611392,,0.02,0
2023-04-21,742.7432146391641,,0.02,0
2023-04-24,743.6683503463807,,0.02,0
2023-04-25,744.5749833394532,,0.02,0
2023-04-26,745.4634836726641,,0.02,0
2023-04-27,746.3342139992108,,0.04,0
2023-04-28,748.0488459192424,,0.06,0
2023-05-02,751.2889144440878,,0.08,0
2023-05-03,755.7298003285608,,0.08,0
2023-05-04,759.815415342276,,0.08,0
2023-05-05,763.5741811548938,,0.08,0
2023-05-08,767.0322457025023,,0.08,0
2023-05-09,770.2136650863022,,0.08,0
2023-05-10,773.140570919398,,0.08,0
2023-05-11,775.8333242858462,,0.08,0
2023-05-12,778.3106573829784,,0.08,0
2023-05-15,780.5898038323402,,0.08,0
2023-05-16,782.686618565753,,0.08,0
2023-05-17,,806.799988,0.02,1
2023-05-18,,806.34198872,0.02,0
2023-05-19,783.900024,,0.02,1
2023-05-22,784.38902304,,0.02,0
2023-05-23,784.8682420992,,0.04,0
2023-05-24,785.831512895232,,0.04,0
2023-05-25,786.7562528594227,,0.06,0
2023-05-26,789.0808776878573,,0.08,0
2023-05-29,792.3024055528288,,0.1,0
2023-05-30,796.0121673975459,,0.1,0
2023-05-31,799.3509530577913,,0.12000000000000001,0
2023-06-01,810.0788386908564,,0.12000000000000001,0
2023-06-02,818.0,,0.12000000000000001,0
2023-06-05,823.0,,0.12000000000000001,0
2023-06-06,,888.75,0.02,1
2023-06-07,,887.49800048,0.02,0
2023-06-08,,886.2710409504,0.02,0
2023-06-09,,885.068620611392,0.02,0
2023-06-12,,883.8902486791642,0.02,0
2023-06-13,,882.735444185581,0.02,0
2023-06-14,,881.6037357818693,0.04,0
2023-06-15,,879.0995863505946,0.04,0
2023-06-16,,876.6956028965708,0.04,0
2023-06-19,,874.387778780708,0.04,0
2023-06-20,,872.1722676294797,0.04,0
2023-06-21,,870.0453769243005,0.04,0
2023-06-22,,868.0035618473285,0.04,0
2023-06-23,,866.0434193734353,0.04,0
2023-06-26,,864.1616825984979,0.04,0
2023-06-27,819.0,,0.02,1
2023-06-28,820.04699952,,0.02,0
2023-06-30,821.0730590496,,0.04,0
2023-07-03,823.550136687616,,0.06,0
2023-07-04,827.1861299263591,,0.06,0
2023-07-05,830.6039635707775,,0.06,0
2023-07-06,833.8167271965309,,0.06,0
2023-07-07,836.836725004739,,0.06,0
2023-07-10,839.6755229444547,,0.08,0
2023-07-11,843.6694791888983,,0.1,0
2023-07-12,848.6175336700085,,0.12000000000000001,0
2023-07-13,854.2674310696075,,0.12000000000000001,0
2023-07-14,859.2393407812546,,0.12000000000000001,0
2023-07-17,863.614621327504,,0.14,0
2023-07-18,,896.650024,0.02,1
2023-07-19,,896.650024,0.02,0
2023-07-20,,895.9800240000001,0.02,0
2023-07-21,,895.323424,0.02,0
2023-07-24,,894.6799560000001,0.02,0
2023-07-25,863.150024,,0.02,1
2023-07-26,863.78102376,,0.04,0
2023-07-27,865.0897828096,,0.06,0
2023-07-28,867.268397281024,,0.06,0
2023-07-31,869.3162948841626,,0.06,0
2023-08-01,871.2413186311129,,0.06,0
2023-08-02,,901.400024,0.02,1
2023-08-03,,900.82402304,0.04,0
2023-08-04,,899.3950611584,0.04,0
2023-08-07,865.099976,,0.02,1
2023-08-08,865.80897624,,0.02,0
2023-08-09,866.5037964752,,0.02,0
2023-08-10,867.184720305696,,0.02,0
2023-08-11,,900.549988,0.02,1
2023-08-14,,899.8389882399999,0.04,0
2023-08-16,,898.1494277503999,0.06,0
2023-08-17,,895.452462805376,0.08,0
2023-08-18,,891.8162657809459,0.08,0
2023-08-21,,888.4709645184702,0.08,0
2023-08-22,,885.3932873569926,0.08,0
2023-08-23,,882.5618243684331,0.08,0
2023-08-24,,879.9568784189585,0.08,0
2023-08-25,,877.5603281454418,0.08,0
2023-08-28,850.0,,0.02,1
2023-08-29,,875.75,0.02,1
2023-08-30,,875.75,0.02,0
2023-08-31,,875.205,0.04,0
2023-09-01,,874.0787995200001,0.04,0
2023-09-04,,872.9976470592001,0.04,0
2023-09-05,,871.9597406968321,0.04,0
2023-09-06,847.049988,,0.02,1
2023-09-07,847.75698872,,0.04,0
2023-09-08,849.1947096512,,0.06,0
2023-09-11,851.682028512128,,0.08,0
