,ISA_9,ISB_26
2023-09-12,1129.0124815,1081.0999755
2023-09-13,1129.0124815,1086.8499755
2023-09-14,1160.7625122499999,1104.75
2023-09-15,1172.837509,1106.9750060000001
2023-09-18,1175.962509,1110.1000060000001
2023-09-19,1175.962509,1110.1000060000001
2023-09-20,1179.700012,1112.325012
2023-09-21,1180.950012,1116.275024
2023-09-22,1186.212509,1116.525024
2023-09-25,1187.01249675,1116.525024
2023-09-26,1199.80001825,1116.525024
2023-09-27,1198.3375242500001,1116.525024
2023-09-28,1198.3375242500001,1116.525024
2023-09-29,1194.375015,1116.525024
2023-10-02,1192.450012,1117.450012
2023-10-03,1195.200012,1125.25
2023-10-04,1195.200012,1129.25
2023-10-05,1196.237518,1131.775024
2023-10-06,1197.7875060000001,1131.775024
2023-10-09,1215.0875242500001,1131.775024
2023-10-10,1225.450012,1131.775024
2023-10-11,1225.450012,1131.775024
2023-10-12,1225.450012,1131.775024
2023-10-13,1226.950012,1133.625
2023-10-16,1229.99999975,1137.200012
2023-10-17,1235.24999975,1137.200012
