Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,1252.75,0.04,0,1064.75
2022-09-14,,1244.74600096,0.06,0,1064.51600096
2022-09-15,,1232.4612409024,0.08,0,1064.1790423424
2022-09-16,,1216.1443416302081,0.08,0,1061.7087228750079
2022-09-19,,1201.1327942997914,0.1,0,1058.867855487507
2022-09-20,,1182.5195148698122,0.1,0,1033.300049
2022-09-21,,1165.767563382831,0.1,0,1039.200049
2022-09-22,,1150.690807044548,0.1,0,1045.572049
2022-09-23,,1137.1217263400931,0.1,0,1052.113969
2022-09-26,,1124.909553706084,0.1,0,1058.5437418
2022-09-27,,1113.9185983354755,0.1,0,1064.619877096
2022-09-28,1015.0,,0.02,1,1071.4358918768
2022-09-29,1017.05399902,,0.04,0,1076.8887037014401
2022-09-30,1021.2378400192,,0.06,0,1084.6809581611521
2022-10-03,1027.643569618048,,0.08,0,1090.9147617289218
2022-10-04,1037.0240859686044,,0.1,0,1098.8818093831374
2022-10-06,1048.071677371744,,0.12000000000000001,0,1108.0354523065098
2022-10-07,1060.3510789671348,,0.12000000000000001,0,1115.3583666452078
2022-10-10,1071.1569523710787,,0.12000000000000001,0,1144.650024
2022-10-11,1080.6661209665492,,0.12000000000000001,0,1141.55401824
2022-10-12,1089.0341893305633,,0.12000000000000001,0,1137.1504523264
2022-10-13,1096.3980894908957,,0.12000000000000001,0,1132.558372114176
2022-10-14,1099.199951,,0.12000000000000001,0,1127.3548694536244
2022-10-17,,1150.400024,0.02,1,1122.6139003628996
2022-10-18,,1149.3680245,0.02,0,1103.650024
2022-10-19,,1148.3566649900001,0.02,0,1104.0940230400001
2022-10-20,,1147.3655326702,0.02,0,1104.9642611584002
2022-10-21,1098.800049,,0.02,1,1106.8744084288962
2022-10-24,1099.78404802,,0.04,0,1109.2684596745846
2022-10-25,1101.7926860992,,0.06,0,1113.0316161071262
2022-10-27,1105.576123493248,,0.08,0,1118.175825054271
2022-10-28,1111.538031693788,,0.08,0,1124.857212906673
2022-10-31,1117.022987238285,,0.08,0,1131.4240626816054
2022-11-01,1122.0691463392222,,0.1,0,1137.8997357189164
2022-11-02,1128.3872317053,,0.1,0,1144.999793375133
2022-11-03,1134.07350853477,,0.1,0,1150.6798395001065
2022-11-04,1139.1911576812931,,0.1,0,1173.400024
2022-11-07,,1185.25,0.02,1,1170.6700192
2022-11-09,,1183.875,0.02,0,1165.897619776
2022-11-10,,1182.5275,0.02,0,1160.78795636736
2022-11-11,,1181.20695,0.02,0,1154.6298911885824
2022-11-14,,1179.912811,0.02,0,1148.6485150946376
2022-11-15,,1178.64455478,0.04,0,1143.19881687571
2022-11-16,,1175.9327716287999,0.04,0,1138.309053500568
2022-11-17,,1173.3294598036478,0.04,0,1134.3972428004545
2022-11-18,,1170.830280451502,0.06,0,1131.2677942403636
2022-11-21,,1166.5474606844118,0.08,0,1125.4942401922908
2022-11-22,,1160.7236638296588,0.08,0,1120.8753969538327
2022-11-23,,1155.365770723286,0.08,0,1117.1803223630661
2022-11-24,,1150.436509065423,0.1,0,1114.2242626904529
2022-11-25,,1144.6328605588808,0.12000000000000001,0,1110.4494053523622
2022-11-28,,1136.696917291815,0.12000000000000001,0,1107.4295194818897
2022-11-29,,1129.7132872167972,0.12000000000000001,0,1095.349976
2022-11-30,1078.5,,0.02,1,1098.44598176
2022-12-01,1079.91,,0.02,0,1104.2145476736
2022-12-02,1081.2918,,0.02,0,1109.884223885824
2022-12-05,1082.645964,,0.02,0,1115.2420679063757
2022-12-06,1083.97304472,,0.02,0,1139.650024
2022-12-07,1085.2735838255999,,0.02,0,1139.04902304
2022-12-08,1086.548112149088,,0.02,0,1137.6990640784002
2022-12-09,1087.7971499061061,,0.02,0,1135.7551231736961
2022-12-12,1089.021206907984,,0.02,0,1133.3187172398004
2022-12-13,,1149.0,0.02,1,1129.6668504158204
2022-12-14,,1147.78399902,0.02,0,1125.7228342459218
2022-12-15,,1146.5923180596,0.02,0,1121.6736443114928
2022-12-16,,1145.424470718408,0.04,0,1117.693869061654
2022-12-19,,1143.0514909296717,0.06,0,1112.6009769505563
2022-12-20,,1139.5353985338913,0.06,0,1107.9607863604451
2022-12-21,,1136.2302716818579,0.06,0,1089.400024
2022-12-22,1084.449951,,0.02,1,1091.71602256
2022-12-23,1085.650024,,0.02,0,1094.6187407552
2022-12-26,1086.88402304,,0.02,0,1128.0
2022-12-27,1088.0933420992,,0.02,0,1127.37
2022-12-28,,1147.349976,0.02,1,1126.1091990399998
2022-12-29,,1146.0849759999999,0.04,0,1123.6906500375999
2022-12-30,,1143.04157696,0.04,0,1120.6594019545919
2023-01-02,,1140.1199138816,0.06,0,1116.1884568591327
2023-01-03,,1135.5437176087041,0.06,0,1110.7598361560367
2023-01-04,,1131.242093112182,0.06,0,1105.1864522341916
2023-01-05,,1127.198566085451,0.06,0,1099.060623716721
2023-01-06,,1123.3976506803237,0.06,0,1093.2717157677112
2023-01-09,,1119.8247901995044,0.06,0,1087.997377414169
2023-01-10,,1116.4663013475342,0.06,0,1083.7779067313352
2023-01-11,,1113.3093218266822,0.08,0,1080.4023301850682
2023-01-12,,1107.6845760805477,0.08,0,1073.8418593480546
2023-01-13,,1102.5098099941038,0.08,0,1068.5934826784437
2023-01-16,,1097.7490251945756,0.08,0,1064.3947813427549
2023-01-17,,1093.3691031790095,0.08,0,1047.599976
2023-01-18,,1089.3395749246888,0.08,0,1049.319976
2023-01-19,,1085.6324089307136,0.08,0,1051.297976
2023-01-20,,1082.2218162162565,0.08,0,1053.434216
2023-01-23,,1079.0840709189558,0.08,0,1055.6274224000001
2023-01-24,,1076.1973452454395,0.08,0,1057.7830309760002
2023-01-25,,1074.900024,0.1,0,1069.099976
2023-01-27,1020.0,,0.02,1,1065.7149784
2023-01-30,1020.0,,0.02,0,1062.0591809920002
2023-01-31,,1072.949951,0.02,1,1058.1868990131202
2023-02-01,,1071.64095198,0.02,0,1051.748997091021
2023-02-02,,1070.3581329403999,0.02,0,1045.6651797746372
2023-02-03,,1069.1009702815918,0.02,0,1040.1221462197097
2023-02-06,,1067.8689508759599,0.02,0,1035.6877193757678
2023-02-07,,1066.6615718584408,0.02,0,1032.1401779006142
2023-02-08,,1065.478340421272,0.02,0,1017.950012
2023-02-09,,1064.3187736128466,0.02,0,1018.37301128
2023-02-10,,1063.1823981405896,0.02,0,1019.2020898688
2023-02-13,,1062.068750177778,0.02,0,1020.395963036672
2023-02-14,,1060.9773751742223,0.02,0,1021.8922840737382
2023-02-15,,1059.9078276707378,0.02,0,1023.6130532663644
2023-02-16,,1058.859671117323,0.02,0,1025.4714839944006
2023-02-17,,1057.8324776949764,0.02,0,1039.099976
2023-02-20,,1056.825828141077,0.04,0,1038.83297648
2023-02-21,,1052.7627950154338,0.04,0,1035.8396574208
2023-02-22,,1048.8622832148164,0.04,0,1031.529277975552
2023-02-23,,1045.1177918862238,0.04,0,1026.0109347775078
2023-02-24,,1041.5230802107749,0.06,0,1019.439840099757
