,ISA_9,ISB_26
2023-09-12,448.18749249999996,434.674988
2023-09-13,450.912491,434.674988
2023-09-14,450.912491,437.324997
2023-09-15,450.912491,437.949997
2023-09-18,451.31249249999996,437.949997
2023-09-19,451.649994,437.949997
2023-09-20,452.449997,438.724991
2023-09-21,450.949997,439.5
2023-09-22,450.949997,439.5
2023-09-25,452.72499849999997,439.5
2023-09-26,453.0499955,439.5
2023-09-27,453.0499955,439.5
2023-09-28,453.0499955,439.5
2023-09-29,452.7999955,439.5
2023-10-02,451.774994,439.5
2023-10-03,451.774994,439.5
2023-10-04,451.774994,439.5
2023-10-05,452.649994,439.5
2023-10-06,453.87499249999996,439.5
2023-10-09,460.16249849999997,442.975006
2023-10-10,467.06249249999996,449.875
2023-10-11,467.06249249999996,449.875
2023-10-12,467.06249249999996,449.875
2023-10-13,467.06249249999996,450.25
2023-10-16,467.524994,453.149994
2023-10-17,469.62499249999996,453.474991
