Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
2022-09-12,,,0.02,0
2022-09-13,428.649994,,0.04,0
2022-09-14,,447.899994,0.02,1
2022-09-15,,447.899994,0.04,0
2022-09-16,,447.899994,0.06,0
2022-09-19,,445.37399364,0.08,0
2022-09-20,,442.19607366879995,0.08,0
2022-09-21,,439.27238729529597,0.08,0
2022-09-22,,436.5825958316723,0.1,0
2022-09-23,,433.27433624850505,0.12000000000000001,0
2022-09-26,,428.61541733868444,0.14,0
2022-09-27,,420.35325975126864,0.16,0
2022-09-28,,411.51273915106566,0.18,0
2022-09-29,,402.02444394387385,0.18,0
2022-09-30,358.799988,,0.02,1
2022-10-03,359.53098836,,0.02,0
2022-10-04,360.2473687128,,0.04,0
2022-10-06,361.873473724288,,0.06,0
2022-10-07,364.9980660208307,,0.06,0
2022-10-10,367.9351827795809,,0.06,0
2022-10-11,370.69607253280606,,0.06,0
2022-10-12,373.2913089008377,,0.06,0
2022-10-13,375.7308310867874,,0.08,0
2022-10-14,378.99236459984445,,0.08,0
2022-10-17,381.9929754318569,,0.08,0
2022-10-18,384.7535373973084,,0.08,0
2022-10-19,386.299988,,0.08,0
2022-10-20,,416.5,0.02,1
2022-10-21,,415.77200012,0.02,0
2022-10-24,,415.0585602376,0.02,0
2022-10-25,,414.359389152848,0.02,0
2022-10-27,,413.674201489791,0.02,0
2022-10-28,,413.399994,0.02,0
2022-10-31,,413.399994,0.02,0
2022-11-01,380.100006,,0.02,1
2022-11-02,380.79800588,,0.04,0
2022-11-03,382.6400858848,,0.04,0
2022-11-04,384.408482689408,,0.06,0
2022-11-07,387.26397372804354,,0.08,0
2022-11-09,391.3948553498001,,0.08,0
2022-11-10,395.1952664418161,,0.08,0
2022-11-11,398.6916446464708,,0.08,0
2022-11-14,401.90831259475317,,0.1,0
2022-11-15,407.58248073527784,,0.12000000000000001,0
2022-11-16,413.9385816070445,,0.12000000000000001,0
2022-11-17,419.53195037419914,,0.12000000000000001,0
2022-11-18,424.4541148892952,,0.12000000000000001,0
2022-11-21,,460.549988,0.02,1
2022-11-22,,459.90698812,0.02,0
2022-11-23,,459.2768482376,0.02,0
2022-11-24,,458.65931115284803,0.02,0
2022-11-25,,458.05412480979106,0.02,0
2022-11-28,,457.46104219359523,0.02,0
2022-11-29,,456.87982122972335,0.02,0
2022-11-30,,456.3102246851289,0.02,0
2022-12-01,428.399994,,0.02,1
2022-12-02,429.16199412,,0.04,0
2022-12-05,430.8115141152,,0.06,0
2022-12-06,433.993823628288,,0.06,0
2022-12-07,436.9851945705907,,0.06,0
2022-12-08,439.7970832563553,,0.06,0
2022-12-09,442.44025862097396,,0.06,0
2022-12-12,444.92484346371555,,0.06,0
2022-12-13,447.2603532158926,,0.06,0
2022-12-14,449.45573238293906,,0.06,0
2022-12-15,451.5193887999627,,0.06,0
2022-12-16,,483.850006,0.02,1
2022-12-19,,483.22400564000003,0.02,0
2022-12-20,,482.6105252872,0.04,0
2022-12-21,,481.076104275712,0.04,0
2022-12-22,,479.6030601046835,0.04,0
2022-12-23,,478.1889377004961,0.06,0
2022-12-26,,475.15360179846635,0.06,0
2022-12-27,427.600006,,0.02,1
2022-12-28,428.49600576,,0.04,0
2022-12-29,430.3041660096,,0.04,0
2022-12-30,432.03999984921603,,0.06,0
2023-01-02,435.05559913826306,,0.08,0
2023-01-03,439.531151207202,,0.08,0
2023-01-04,443.64865911062583,,0.08,0
2023-01-05,447.4367663817758,,0.08,0
2023-01-06,450.92182507123374,,0.08,0
2023-01-09,454.128079065535,,0.08,0
2023-01-10,457.0778327402922,,0.08,0
2023-01-11,459.7916061210688,,0.1,0
2023-01-12,463.1574467089619,,0.12000000000000001,0
2023-01-13,467.0505538238865,,0.12000000000000001,0
