Date,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-09-12,,,,,
2022-09-13,,,,,
2022-09-14,,,,,
2022-09-15,,,,,
2022-09-16,,,,,
2022-09-19,,,,,
2022-09-20,,,,,
2022-09-21,,,,,
2022-09-22,,,,,
2022-09-23,,,,,
2022-09-26,,,,,
2022-09-27,,,,,
2022-09-28,,,,,
2022-09-29,,,,,
2022-09-30,,,,,
2022-10-03,,,,,
2022-10-04,,,,,
2022-10-06,,,,,
2022-10-07,,,,,
2022-10-10,2521.547475740481,2626.8400024499997,2732.1325291595185,8.016668438984837,0.3991385945718802
2022-10-11,2516.691031581851,2625.3525024500004,2734.01397331815,8.277857603254859,0.15625994267717538
2022-10-12,2517.248078165009,2625.5900024499997,2733.9319267349906,8.25276788713352,0.3419822027531441
2022-10-13,2516.4772321441023,2625.34000245,2734.202772755898,8.293232130261659,0.22929174829750373
2022-10-14,2518.8900061548175,2626.1100097999997,2733.330013445182,8.165690183965138,0.265389110755452
2022-10-17,2530.281257599419,2629.23001715,2728.1787767005812,7.5268241200013675,0.30454546208723554
2022-10-18,2533.2638451763337,2630.3800171499997,2727.4961891236658,7.384193260325237,0.355173363105645
2022-10-19,2533.1830140584893,2630.3525147,2727.5220153415107,7.388325336506706,0.25634065016605073
2022-10-20,2531.2321431430046,2629.2175049,2727.202866656996,7.453575946028279,0.3555008503707525
2022-10-21,2532.9319749472847,2627.275,2721.6180250527154,7.181815763687878,0.64110689150111
2022-10-24,2528.185480576166,2621.8275024500003,2715.469524323835,7.1432633753616095,0.2398208439174255
2022-10-25,2509.4788736483006,2614.0699950999997,2718.661116551699,8.00216686223033,-0.019499607575123687
2022-10-27,2498.1664563273844,2606.0574951,2713.9485338726154,8.280019836513661,0.09654899938688664
2022-10-28,2493.156208789997,2597.1649902,2701.173771610003,8.009408859465145,0.14947675950279235
2022-10-31,2495.3995730258835,2589.6724853,2683.9453975741167,7.280682233699184,0.2932994040394134
2022-11-01,2500.679823265522,2582.4399902,2664.200157134478,6.332009049174156,0.31262305136586466
2022-11-02,2493.099295911756,2577.22999265,2661.360689388244,6.528769025517793,0.14977145123765587
2022-11-03,2497.158106516457,2571.15,2645.1418934835433,5.755548566481396,0.33241473604459093
2022-11-04,2492.0632122249413,2566.4675049,2640.871797575059,5.798187004745112,0.19008907119508625
2022-11-07,2488.980327324721,2563.1225098,2637.264692275279,5.785301497825329,0.2955114093781198
2022-11-09,2483.2313409570033,2558.28250735,2633.3336737429963,5.86730872586377,0.17034184325070387
2022-11-10,2478.927740374648,2556.43001715,2633.932293925352,6.063320822821073,0.22368605844866532
2022-11-11,2472.9287598294213,2552.0150147,2631.1012695705786,6.1979458909943395,0.1904331493498514
2022-11-14,2457.868600883557,2546.5850220499997,2635.3014432164423,6.9674815800986645,-0.00038635397289363504
2022-11-15,2445.0291337852,2540.6700195999997,2636.3109054147994,7.528792411212639,0.06519631279319586
2022-11-16,2438.5371915393475,2535.03502205,2631.5328525606524,7.613135887378611,0.2036983953556997
2022-11-17,2431.32044690196,2527.92252205,2624.5245971980403,7.642803472449884,0.1484417030073588
2022-11-18,2427.995541060263,2522.9575196,2617.9194981397372,7.527830159803312,0.29329849059762086
2022-11-21,2429.6834932822567,2517.9825195999997,2606.2815459177427,7.013474131009455,0.4060996576546199
2022-11-22,2448.5260526029833,2511.07252205,2573.6189914970164,4.981653767287819,0.5369919276892209
2022-11-23,2452.08836624553,2507.7850220499995,2563.481677854469,4.441900347497902,0.4960955999627117
2022-11-24,2451.4571416622202,2509.97252205,2568.4879024377797,4.662631154223772,0.8347613882911877
2022-11-25,2451.2682765754103,2510.8950196,2570.52176262459,4.74944133937457,0.7226763533692327
2022-11-28,2451.271799274091,2510.9425171499997,2570.6132350259086,4.752854154832427,0.6194675911194002
2022-11-29,2436.293533728605,2515.11751715,2593.941500571395,6.268015938333909,1.2553692967620171
2022-11-30,2414.5240474762477,2521.7450196,2628.9659917237523,8.503712412665712,1.2582708642686264
2022-12-01,2405.4122340846893,2528.97252205,2652.5328100153106,9.771580109154522,1.0417500159419582
2022-12-02,2403.4019797592364,2532.41002205,2661.4180643407635,10.18855881689576,0.8204841902942364
2022-12-05,2403.0565533677973,2537.38502205,2671.7134907322024,10.587945267657974,0.8069530858164468
2022-12-06,2399.815878674309,2543.47252205,2687.129165425691,11.296103427915634,0.8866076929679814
2022-12-07,2394.1086378252626,2553.4000244999997,2712.691411174737,12.476806230620225,0.9832341431440871
2022-12-08,2391.7829630718193,2562.99251715,2734.2020712281806,13.3601290626133,0.9160323721915331
2022-12-09,2391.781730835994,2573.9525147,2756.123298564006,14.154945192160106,0.9070287291805997
2022-12-12,2402.7468199363875,2586.9250122500002,2771.103204563613,14.239159731454464,0.853801354310413
2022-12-13,2417.970298214095,2599.5650147,2781.1597311859055,13.971161748909909,0.804896079695674
2022-12-14,2433.7404145699193,2609.9050049,2786.069595230081,13.499693666960173,0.7121450654752746
2022-12-15,2456.679338673693,2620.0675049,2783.455671126307,12.472057755820535,0.6321469482685432
2022-12-16,2477.2979529200766,2629.4475098,2781.597066679923,11.572739620232692,0.6375374994783266
2022-12-19,2495.4636112504895,2640.2825196000003,2785.101427949511,10.969955470632796,0.7686720238637347
2022-12-20,2514.617868577725,2648.2250245,2781.832180422275,10.09031745310245,0.598516521507704
2022-12-21,2539.146108985007,2656.16751715,2773.1889253149934,8.811297285237062,0.5428658055278861
2022-12-22,2554.5147892773834,2660.9775269499996,2767.440264622616,8.00177653470402,0.42660610983884484
2022-12-23,2572.798946683337,2665.1600343,2757.521121916663,6.9309974956848395,0.26147998341646234
2022-12-26,2599.1824832519737,2669.7725343,2740.3625853480266,5.2880947826916485,0.1293912348611132
2022-12-27,2591.0162091178054,2667.72503675,2744.4338643821948,5.750879612813957,0.014560194381442376
2022-12-28,2578.1720876100308,2662.6875367499997,2747.2029858899687,6.348131200037545,0.03211253353797846
2022-12-29,2563.903735021574,2657.9475343000004,2751.9913335784267,7.076422545202258,0.02204458991576021
2022-12-30,2553.6297471889407,2655.24503185,2756.8603165110594,7.65392899278004,0.03651174051133111
2023-01-02,2543.025188699399,2652.17252205,2761.319855400601,8.23078683178841,0.07043100746774328
2023-01-03,2527.3382977223623,2646.54752205,2765.756746377638,9.008659269061539,0.061705590991865907
2023-01-04,2513.013386919375,2637.98502205,2762.9566571806254,9.474779734231292,0.09236780432813291
2023-01-05,2508.8172660283417,2631.89752205,2754.9777780716586,9.352967202597654,0.30420266983553096
2023-01-06,2506.631481981334,2624.6075196,2742.583557218666,8.989994636352023,0.2959010593504595
2023-01-09,2509.8792729347447,2619.94752205,2730.015771165255,8.40232471749139,0.518636286953671
2023-01-10,2513.9000795957663,2616.6250245,2719.349969404234,7.851713099309142,0.6325144224967976
2023-01-11,2513.806994065858,2612.0550294,2710.303064734142,7.522661982868718,0.4042981911239041
2023-01-12,2512.6257625185035,2608.39503185,2704.1643011814967,7.343156857922123,0.404223019669803
2023-01-13,2514.3421088673645,2606.0300294,2697.7179499326353,7.0365973913006075,0.5979953002293464
2023-01-16,2524.0572169431443,2599.9800293999997,2675.902841856855,5.84026120188132,0.48103382035777204
2023-01-17,2525.0325267844382,2599.6300294000002,2674.2275320155622,5.739086083166939,0.9552432535846763
2023-01-18,2522.0593811318404,2600.6300294,2679.200677668159,6.042431824590344,1.044541272638814
2023-01-19,2521.7568479729825,2600.8500245,2679.9432010270175,6.082102065244822,0.8091289138153164
2023-01-20,2515.5976335428923,2597.2325195999997,2678.867405657107,6.286297852891512,0.20305269020597458
2023-01-23,2515.0738316900815,2596.18001715,2677.2862026099183,6.24811722793815,0.5013555368727634
2023-01-24,2515.427147797924,2596.54251715,2677.657886502076,6.2479523301709134,0.5243941615603247
2023-01-25,2516.844286472198,2598.48001715,2680.1157478278024,6.28334488924336,0.6461987333965907
2023-01-27,2520.080288406071,2600.6850098,2681.289731193929,6.19873003383273,0.5711179940934801
