,ISA_9,ISB_26
2023-09-12,2609.6375122500003,2652.3499755000003
2023-09-13,2609.6375122500003,2652.3499755000003
2023-09-14,2608.375,2652.3499755000003
2023-09-15,2608.375,2652.3499755000003
2023-09-18,2602.51251225,2648.625
2023-09-19,2588.21246325,2634.324951
2023-09-20,2569.53753675,2628.875
2023-09-21,2569.53753675,2628.875
2023-09-22,2569.425049,2628.875
2023-09-25,2569.425049,2628.875
2023-09-26,2569.425049,2628.875
2023-09-27,2566.87506125,2628.875
2023-09-28,2569.00006125,2628.875
2023-09-29,2571.06256125,2628.875
2023-10-02,2571.06256125,2628.875
2023-10-03,2570.1500244999997,2628.875
2023-10-04,2551.97503675,2628.875
2023-10-05,2549.66253675,2628.875
2023-10-06,2542.43756125,2628.875
2023-10-09,2541.175049,2628.875
2023-10-10,2541.175049,2628.875
2023-10-11,2540.675049,2628.875
2023-10-12,2537.91253675,2628.875
2023-10-13,2534.737549,2628.875
2023-10-16,2532.4625244999997,2628.875
2023-10-17,2527.68756125,2628.875
