Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,2609.0,0.02,1,2580.399902
2022-09-14,,2609.0,0.04,0,2586.600098
2022-09-15,,2609.0,0.04,0,2585.99209016
2022-09-16,,2606.50799804,0.06,0,2584.4565588704
2022-09-19,,2601.2365122776,0.08,0,2579.952026320768
2022-09-20,2508.050049,,0.02,1,2528.149902
2022-09-21,2508.050049,,0.04,0,2529.25790494
2022-09-22,2513.59804704,,0.06,0,2533.0315926624003
2022-09-23,2524.8571642176,,0.08,0,2542.6146971026565
2022-09-26,2540.768591080192,,0.1,0,2554.625521334444
2022-09-27,2559.591731972173,,0.1,0,2568.4379692009993
2022-09-28,2576.5325587749558,,0.1,0,2583.3554128968794
2022-09-29,2591.77930289746,,0.1,0,2599.9796688113165
2022-09-30,2605.501372607714,,0.1,0,2616.318937481506
2022-10-03,,2734.0,0.02,1,2702.100098
2022-10-04,,2734.0,0.02,0,2700.50809604
2022-10-06,,2734.0,0.04,0,2697.3877721984
2022-10-07,,2728.84200196,0.06,0,2692.384505866496
2022-10-10,,2719.6114818424,0.08,0,2684.9697414771763
2022-10-11,,2705.402563295008,0.08,0,2676.4427624294585
2022-10-12,,2692.3303582314074,0.08,0,2661.3476191779237
2022-10-13,,2680.303929572895,0.08,0,2645.8499387730144
2022-10-14,,2669.2396152070633,0.08,0,2630.617932889332
2022-10-17,,2659.060445990498,0.08,0,2616.2236873292522
2022-10-18,,2649.695610311258,0.08,0,2603.108930263402
2022-10-19,,2642.0,0.08,0,2592.6171246107215
2022-10-20,,2642.0,0.08,0,2550.649902
2022-10-21,2542.0,,0.02,1,2554.669902
2022-10-24,2544.495,,0.02,0,2564.5929020000003
2022-10-25,,2666.75,0.02,1,2653.899902
2022-10-27,,2663.415,0.04,0,2650.9299020000003
2022-10-28,,2656.3984,0.04,0,2645.1087020000004
2022-10-31,,2649.662464,0.04,0,2636.7261740000004
2022-11-01,,2643.19596544,0.04,0,2626.2200722400003
2022-11-02,,2636.9881268224,0.04,0,2614.1380552160003
2022-11-03,,2631.0286017495037,0.04,0,2601.0894768300805
2022-11-04,,2625.3074576795234,0.04,0,2587.6929363538693
2022-11-07,,2619.8151593723424,0.04,0,2574.52605085725
2022-11-09,,2614.5425529974486,0.04,0,2562.083344062945
2022-11-10,,2609.480850877551,0.04,0,2550.746655650356
2022-11-11,,2604.621616842449,0.04,0,2541.6773049202848
2022-11-14,,2599.956752168751,0.06,0,2533.951853736228
2022-11-15,,2591.268341158626,0.08,0,2518.7214927889822
2022-11-16,,2579.498866025936,0.1,0,2506.477194231186
2022-11-17,,2564.358989223342,0.1,0,2496.6817553849487
2022-11-18,,2550.733100101008,0.1,0,2488.845404307959
2022-11-21,,2538.4697998909073,0.1,0,2457.5
2022-11-22,,2527.4328297018164,0.1,0,2461.8899902
2022-11-23,2428.100098,,0.02,1,2468.347185496
2022-11-24,2430.03809604,,0.04,0,2474.97657266656
2022-11-25,2435.2365721983997,,0.04,0,2486.8443053599103
2022-11-28,2440.2271093104637,,0.04,0,2498.0593127551265
2022-11-29,2445.018024938045,,0.06,0,2508.277430604101
2022-11-30,2456.7139405017624,,0.08,0,2533.461934683281
