,ISA_9,ISB_26
2023-09-12,1378.3500060000001,1380.5250245
2023-09-13,1383.0125122499999,1380.5250245
2023-09-14,1383.0125122499999,1380.5250245
2023-09-15,1383.2625122499999,1380.5250245
2023-09-18,1383.2625122499999,1380.5250245
2023-09-19,1387.2749939999999,1380.5250245
2023-09-20,1387.2749939999999,1380.5250245
2023-09-21,1393.1875,1380.5250245
2023-09-22,1396.4500122499999,1380.5250245
2023-09-25,1397.35000625,1380.5250245
2023-09-26,1397.35000625,1380.5250245
2023-09-27,1397.35000625,1380.5250245
2023-09-28,1397.35000625,1380.5250245
2023-09-29,1398.6125185,1380.5250245
2023-10-02,1391.66250625,1380.5250245
2023-10-03,1385.3125304999999,1380.5250245
2023-10-04,1390.1250304999999,1380.5250245
2023-10-05,1395.925018,1380.5250245
2023-10-06,1402.550018,1380.5250245
2023-10-09,1405.4750060000001,1380.5250245
2023-10-10,1419.7250060000001,1380.5250245
2023-10-11,1426.1875304999999,1380.5250245
2023-10-12,1431.41250575,1380.5250245
2023-10-13,1431.41250575,1380.5250245
2023-10-16,1432.5250242500001,1386.5
2023-10-17,1437.950012,1388.9750365
