,ISA_9,ISB_26
2023-09-11,474.7000045,461.950012
2023-09-12,468.925003,463.350006
2023-09-13,468.96250150000003,466.775009
2023-09-14,469.18750750000004,466.775009
2023-09-15,465.800003,466.775009
2023-09-18,465.800003,466.775009
2023-09-19,464.5125045,466.775009
2023-09-20,463.5,466.775009
2023-09-21,463.237503,466.775009
2023-09-22,460.27500150000003,466.775009
2023-09-25,459.15000150000003,466.775009
2023-09-26,459.15000150000003,466.775009
2023-09-27,459.15000150000003,466.775009
2023-09-28,459.0,466.775009
2023-09-29,458.52500150000003,466.775009
2023-10-02,458.52500150000003,469.0
2023-10-03,458.52500150000003,469.100006
2023-10-04,458.08750150000003,469.100006
2023-10-05,451.949997,469.100006
2023-10-06,450.75,467.900009
2023-10-09,450.75,467.900009
2023-10-10,449.3875045,467.900009
2023-10-11,448.850006,467.900009
2023-10-12,448.0125045,467.900009
2023-10-13,446.5,467.900009
2023-10-16,446.237503,467.900009
