,ISA_9,ISB_26
2023-09-12,9695.73754875,9597.975097499999
2023-09-13,9693.23754875,9626.5
2023-09-14,9693.23754875,9629.475097499999
2023-09-15,9690.98754875,9629.475097499999
2023-09-18,9648.099853750002,9629.475097499999
2023-09-19,9633.23730475,9629.475097499999
2023-09-20,9566.5251465,9629.475097499999
2023-09-21,9531.2751465,9645.550293
2023-09-22,9520.3251955,9645.550293
2023-09-25,9507.56274425,9645.550293
2023-09-26,9505.8251955,9645.550293
2023-09-27,9485.087646749998,9645.550293
2023-09-28,9510.0751955,9645.550293
2023-09-29,9515.487793249999,9645.550293
2023-10-02,9515.487793249999,9645.550293
2023-10-03,9517.5751955,9645.550293
2023-10-04,9541.8876955,9645.550293
2023-10-05,9575.18774425,9645.550293
2023-10-06,9698.4626465,9659.5751955
2023-10-09,9864.937743999999,9826.050293
2023-10-10,9909.01269525,9861.050293
2023-10-11,9918.76269525,9861.050293
2023-10-12,9918.76269525,9861.050293
2023-10-13,9924.01269525,9861.050293
2023-10-16,9924.01269525,9861.050293
2023-10-17,9991.03759775,9902.0751955
