Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,9012.299805,0.02,1,8927.650391
2022-09-14,,9012.299805,0.04,0,8926.5
2022-09-15,8825.700195,,0.02,1,8928.1280078
2022-09-16,8825.700195,,0.02,0,8945.025327332
2022-09-19,8835.6861911,,0.04,0,8966.203301145439
2022-09-20,8855.996751256,,0.06,0,8997.667931930895
2022-09-21,8890.43694618064,,0.06,0,9034.049733179188
2022-09-22,8922.8107294098,,0.08,0,9071.401715794102
2022-09-23,8963.785871057016,,0.1,0,9124.273378707045
2022-09-26,,9451.0,0.02,1,9401.849609
2022-09-27,,9451.0,0.04,0,9390.51162072
2022-09-28,,9419.78,0.06,0,9365.8531480912
2022-09-29,,9374.1961883,0.08,0,9327.506959205728
2022-09-30,,9312.588461956,0.1,0,9271.29437118927
2022-10-03,,9237.1496352604,0.12000000000000001,0,9206.649894970342
2022-10-04,,9149.891679029153,0.12000000000000001,0,9127.491907573902
2022-10-06,,9073.104677545654,0.12000000000000001,0,9046.223040513556
2022-10-07,,9005.532116240176,0.12000000000000001,0,8966.347354031386
2022-10-10,,8946.068262291355,0.12000000000000001,0,8890.864830305736
2022-10-11,,8893.740070816393,0.12000000000000001,0,8822.091864244589
2022-10-12,,8876.450195,0.12000000000000001,0,8767.073491395671
2022-10-13,,8850.0,0.12000000000000001,0,8723.058793116537
2022-10-14,,8809.2,0.12000000000000001,0,8687.84703449323
2022-10-17,,8785.450195,0.12000000000000001,0,8547.0
2022-10-18,8510.0,,0.02,1,8568.2159766
2022-10-19,8517.565,,0.02,0,8601.694685136
2022-10-20,8524.9787,,0.02,0,8634.59947295424
2022-10-21,8532.244126,,0.02,0,8665.694497442477
2022-10-24,8539.36424348,,0.02,0,8694.025519753981
2022-10-25,8546.341958610401,,0.04,0,8716.690337603184
2022-10-27,8565.168280265985,,0.06,0,8774.352270082547
2022-10-28,8595.875195150025,,0.08,0,8827.871855066038
2022-10-31,8672.201195138023,,0.1,0,8960.807445052831
2022-11-01,8781.88107562422,,0.1,0,9074.165877842264
2022-11-02,8880.592968061797,,0.1,0,9164.852624073812
2022-11-03,8969.433671255618,,0.1,0,9237.40202105905
2022-11-04,9049.390304130056,,0.1,0,9527.599609
2022-11-07,9121.351273717051,,0.1,0,9497.7896481
2022-11-09,9186.116146345346,,0.1,0,9465.594890328
2022-11-10,,9769.0,0.02,1,9432.54160568208
2022-11-11,,9755.04,0.04,0,9378.894948772946
2022-11-14,,9726.8384,0.06,0,9326.452822893816
2022-11-15,,9682.7810843,0.06,0,9278.672219315053
2022-11-16,,9641.367207542,0.06,0,9240.447736452043
2022-11-17,,9602.43816338948,0.08,0,9209.868150161634
2022-11-18,,9551.843110318323,0.1,0,9165.184559129308
2022-11-21,,9480.25879928649,0.12000000000000001,0,9101.757608303446
2022-11-22,,9396.947743372111,0.12000000000000001,0,9051.016047642757
2022-11-23,,9323.634014167457,0.12000000000000001,0,9010.422799114205
2022-11-24,,9259.117932467363,0.12000000000000001,0,8977.948200291365
2022-11-25,,9202.34378057128,0.12000000000000001,0,8848.049805
2022-11-28,,9152.382526902726,0.12000000000000001,0,8868.623828400001
2022-11-29,,9108.416623674399,0.12000000000000001,0,8889.746492424001
2022-11-30,,9104.099609,0.12000000000000001,0,8910.507053636162
2022-12-01,,9065.92765592,0.12000000000000001,0,8930.125783981654
2022-12-02,,9032.336337209601,0.14,0,9019.5
2022-12-05,,9025.0,0.14,0,8990.98894526
2022-12-06,,8987.165,0.16,0,8959.1586828184
2022-12-07,,8940.4106312,0.18,0,8915.633049531089
2022-12-08,,8886.516717584,0.19999999999999998,0,8864.336517824871
2022-12-09,,8830.4233350672,0.2,0,8823.299292459897
2022-12-12,,8773.42870705376,0.2,0,8781.309355767917
2022-12-13,,8763.75,0.2,0,8747.717406414333
2022-12-14,,8714.059961,0.2,0,8720.843846931466
2022-12-15,,8697.349609,0.2,0,8699.344999345172
2022-12-16,,8677.700195,0.2,0,8676.306077676138
2022-12-19,,8673.599609,0.2,0,8638.20482314091
2022-12-20,,8628.079687200001,0.2,0,8607.723819512728
2022-12-21,,8621.450195,0.2,0,8583.339016610184
2022-12-22,,8584.400391,0.2,0,8536.751291488146
2022-12-23,,8566.950195,0.2,0,8496.270954990518
2022-12-26,,8478.1301756,0.2,0,8425.336783592415
2022-12-27,,8397.71410148,0.2,0,8368.589446473932
2022-12-28,8076.049805,,0.02,1,8141.600098
2022-12-29,8083.598808899999,,0.02,0,8147.18909214
2022-12-30,8090.996832721999,,0.04,0,8158.7335206544
2023-01-02,8106.95695941312,,0.04,0,8175.357497715137
2023-01-03,8122.278681036595,,0.04,0,8196.192882297926
2023-01-04,8136.987533795132,,0.06,0,8220.153574568134
2023-01-05,8160.991270067424,,0.06,0,8246.031122219958
2023-01-06,8183.554782163379,,0.06,0,8276.140710369164
2023-01-09,8204.764483533576,,0.06,0,8305.734134150098
2023-01-10,8224.701602821562,,0.06,0,8461.099609
2023-01-11,8243.442494952269,,0.06,0,8451.02265592
2023-01-12,,8537.049805,0.02,1,8437.6968590464
2023-01-13,,8531.5088089,0.02,0,8284.450195
2023-01-16,,8526.078632722,0.02,0,8287.829198919999
2023-01-17,,8520.757060067559,0.02,0,8294.452046603199
2023-01-18,8260.0,,0.02,1,8305.545900347008
2023-01-19,8265.54800782,,0.02,0,8320.626212719248
2023-01-20,8270.9850554836,,0.02,0,8338.728630547323
2023-01-23,8276.313362193927,,0.02,0,8358.279241801643
2023-01-24,8281.535102770049,,0.04,0,8378.351202689413
2023-01-25,8298.993698659247,,0.06,0,8429.622979059108
2023-01-27,8331.034076739692,,0.08,0,8493.42877244847
2023-01-30,8375.671350600516,,0.08,0,8551.562939758776
2023-01-31,8416.737642552474,,0.1,0,8604.65035180702
2023-02-01,8469.448839197226,,0.12000000000000001,0,8662.780242445617
2023-02-02,8536.76900189356,,0.12000000000000001,0,8709.284154956493
2023-02-03,8596.010745066333,,0.12000000000000001,0,8746.487284965195
2023-02-06,8648.143479058373,,0.12000000000000001,0,8785.649788972156
2023-02-07,8694.020284971368,,0.12000000000000001,0,8942.299805
2023-02-08,,9030.450195,0.02,1,8920.7178518
2023-02-09,,9023.302187199999,0.02,0,8898.560379848
2023-02-10,,9016.297139556,0.02,0,8876.782750272321
2023-02-13,,9009.43219286488,0.02,0,8856.202890323304
2023-02-14,,9002.704545107583,0.02,0,8837.452351258644
2023-02-15,,8996.11145030543,0.02,0,8762.450195
2023-02-16,,8989.650217399321,0.02,0,8764.10818328
2023-02-17,,8983.318209151335,0.02,0,8767.3578403088
2023-02-20,,8977.112841068309,0.02,0,8845.349609
2023-02-21,,8971.031580346942,0.04,0,8842.315624640001
2023-02-22,,8957.728324933065,0.06,0,8835.4169840144
2023-02-23,,8935.364625437081,0.06,0,8824.828976673536
2023-02-24,,8914.342747910856,0.06,0,8811.558674139653
2023-02-27,,8894.582183036204,0.08,0,8796.297826225687
2023-02-28,,8865.415608393307,0.08,0,8776.606110478604
2023-03-01,,8838.582359721842,0.08,0,8624.349609
2023-03-02,,8813.895770944095,0.1,0,8764.150391
2023-03-03,,8783.416154749686,0.1,0,8742.610351899999
2023-03-06,,8771.0,0.1,0,8719.347109671999
2023-03-08,,8744.8099609,0.1,0,8695.463514317918
2023-03-09,8509.099609,,0.02,1,8671.98935202705
2023-03-10,,8737.0,0.02,1,8648.582303762181
2023-03-13,,8737.0,0.02,0,8627.255882009746
2023-03-14,,8731.86199218,0.04,0,8605.484783807797
2023-03-15,,8720.3875124928,0.06,0,8586.817905246236
2023-03-16,,8704.950195,0.08,0,8564.44436319699
2023-03-17,,8704.950195,0.1,0,8539.045529557592
2023-03-20,,8663.810156,0.12000000000000001,0,8494.606345446075
2023-03-21,,8599.75293728,0.12000000000000001,0,8439.60499815686
2023-03-22,,8543.3825848064,0.12000000000000001,0,8395.603920325488
2023-03-23,,8493.776674629633,0.12000000000000001,0,8360.40305806039
2023-03-24,,8450.123473674077,0.12000000000000001,0,8332.242368248313
2023-03-27,,8411.708656833187,0.12000000000000001,0,8309.713816398651
2023-03-28,,8386.5,0.12000000000000001,0,8291.690974918922
2023-03-29,,8355.72,0.12000000000000001,0,8208.799805
2023-03-31,8130.0,,0.02,1,8219.179805
2023-04-03,8134.8,,0.04,0,8229.836605
2023-04-05,8152.568,,0.04,0,8273.550717
2023-04-06,8169.62528,,0.04,0,8314.86055284
2023-04-10,8186.0002688,,0.04,0,8355.218520472
2023-04-11,8201.720258048,,0.06,0,8391.2048945776
2023-04-12,8229.874054265121,,0.08,0,8444.87387666208
2023-04-13,8268.280145523911,,0.08,0,8487.809062329665
2023-04-17,8303.613749481998,,0.1,0,8524.407210863732
2023-04-18,8358.252374533799,,0.1,0,8554.455846890985
2023-04-19,8407.427137080418,,0.1,0,8590.094755712787
