,ISA_9,ISB_26
2023-09-11,598.725006,587.850006
2023-09-12,596.325012,587.850006
2023-09-13,594.112518,587.850006
2023-09-14,594.112518,587.850006
2023-09-15,594.050018,587.850006
2023-09-18,594.050018,587.850006
2023-09-19,594.012512,587.850006
2023-09-20,587.399994,587.850006
2023-09-21,582.6875,587.850006
2023-09-22,582.150009,587.850006
2023-09-25,577.225006,587.850006
2023-09-26,577.225006,587.850006
2023-09-27,577.225006,587.850006
2023-09-28,577.225006,587.850006
2023-09-29,577.975006,587.850006
2023-10-02,577.975006,587.850006
2023-10-03,577.975006,587.850006
2023-10-04,580.475006,587.850006
2023-10-05,580.9499969999999,587.850006
2023-10-06,579.162506,587.850006
2023-10-09,579.162506,587.850006
2023-10-10,579.100006,587.850006
2023-10-11,579.100006,587.850006
2023-10-12,578.125,587.850006
2023-10-13,576.225006,587.950012
2023-10-16,575.6875,587.950012
