Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,560.0,0.02,1,554.900024
2022-09-14,549.25,,0.02,1,554.96202352
2022-09-15,549.25,,0.04,0,555.6335425792
2022-09-16,549.25,,0.04,0,556.6245314644481
2022-09-19,550.42,,0.04,0,557.8665708672922
2022-09-20,551.5432,,0.04,0,559.304913780563
2022-09-21,552.6214719999999,,0.04,0,561.0743226868954
2022-09-22,553.65661312,,0.04,0,562.89091583073
2022-09-23,,578.5,0.02,1,574.049988
2022-09-26,,577.92,0.04,0,573.58098776
2022-09-27,,576.1232,0.04,0,572.3697477695999
2022-09-28,,574.398272,0.06,0,570.217562903424
2022-09-29,,571.15537424,0.08,0,566.58815595115
2022-09-30,,567.0269433408,0.1,0,562.104340356035
2022-10-03,,561.93925140672,0.1,0,557.2618195133108
2022-10-04,,557.360328666048,0.1,0,552.0101647814473
2022-10-06,,553.2392981994432,0.1,0,546.8485384164157
2022-10-07,,549.5303707794989,0.1,0,541.9708015014609
2022-10-10,,546.192336101549,0.1,0,537.5266412011687
2022-10-11,,543.1881048913941,0.1,0,533.9713129609349
2022-10-12,,540.4842968022547,0.1,0,519.75
2022-10-13,,538.0508695220292,0.1,0,521.1549988
2022-10-14,,535.8607849698262,0.1,0,522.6723975040001
2022-10-17,516.150024,,0.02,1,524.23026017344
2022-10-18,516.72102376,,0.04,0,527.3374223856896
2022-10-19,518.5921828096,,0.04,0,533.6576885162655
2022-10-20,520.388495497216,,0.04,0,539.4161532130124
2022-10-21,522.1129556773274,,0.06,0,544.0229249704099
2022-10-24,524.7341776166877,,0.08,0,547.7083423763279
2022-10-25,528.5554434073526,,0.1,0,552.2666739010623
2022-10-27,534.3199002666174,,0.1,0,557.5233367208498
2022-10-28,539.5079114399557,,0.1,0,561.9486741766798
2022-10-31,544.1771214959601,,0.1,0,565.4889441413438
2022-11-01,548.3794105463642,,0.1,0,568.321160113075
2022-11-02,552.1614706917278,,0.1,0,570.58693289046
2022-11-03,555.565324822555,,0.12000000000000001,0,572.399551112368
2022-11-04,559.4514872838485,,0.14,0,574.8996456898944
2022-11-07,564.7012807441097,,0.16,0,578.7097189519155
2022-11-09,573.9810777450522,,0.16,0,585.7977799615325
2022-11-10,581.7761072258438,,0.16,0,591.748221569226
2022-11-11,588.3239319897089,,0.16,0,596.5085748553807
2022-11-14,,622.700012,0.02,1,615.549988
2022-11-15,,622.07901224,0.02,0,615.089988
2022-11-16,,621.4704324752,0.02,0,614.1883879999999
2022-11-17,,620.874024305696,0.02,0,612.8900839999999
2022-11-18,,620.2895442995821,0.02,0,611.2628763199999
2022-11-21,,619.7167538935904,0.02,0,609.3915874879999
2022-11-22,,619.1554192957186,0.02,0,607.3705955494399
2022-11-23,,618.6053113898042,0.02,0,592.549988
2022-11-24,,618.0662056420082,0.02,0,592.85198872
2022-11-25,,617.537882009168,0.02,0,593.5119082112
2022-11-28,,617.0201248489847,0.02,0,594.4621922785279
2022-11-29,,616.512722832005,0.02,0,595.6532149762457
2022-11-30,,616.0154688553649,0.02,0,597.0228910786211
