,ISA_9,ISB_26
2023-09-12,1112.56248475,1051.1499635
2023-09-13,1115.5624695000001,1053.3499755
2023-09-14,1121.1124877500001,1053.3499755
2023-09-15,1122.2999877500001,1058.0499875
2023-09-18,1122.2999877500001,1062.9999695000001
2023-09-19,1122.2999877500001,1065.2249755
2023-09-20,1122.7499695000001,1072.3499755
2023-09-21,1127.2374877500001,1073.4999695000001
2023-09-22,1130.19998175,1073.4999695000001
2023-09-25,1130.19998175,1073.4999695000001
2023-09-26,1129.6624757499999,1073.4999695000001
2023-09-27,1128.3374939999999,1073.4999695000001
2023-09-28,1125.51248175,1073.4999695000001
2023-09-29,1123.7874757499999,1073.4999695000001
2023-10-02,1125.3875122499999,1073.4999695000001
2023-10-03,1127.3999939999999,1073.4999695000001
2023-10-04,1127.5125122499999,1073.4999695000001
2023-10-05,1127.5125122499999,1073.4999695000001
2023-10-06,1127.76248175,1073.4999695000001
2023-10-09,1129.2999877500001,1073.4999695000001
2023-10-10,1125.82498175,1073.4999695000001
2023-10-11,1126.5499877500001,1073.4999695000001
2023-10-12,1129.7999877500001,1073.4999695000001
2023-10-13,1130.1624755,1077.8499755
2023-10-16,1130.1624755,1077.8499755
2023-10-17,1129.4249877500001,1085.7499695000001
