Date,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
2022-09-12,,,,,100.050003
2022-09-13,,,,,100.900002
2022-09-14,,,,,100.199997
2022-09-15,,,,,101.199997
2022-09-16,,,,,101.199997
2022-09-19,,,,,104.199997
2022-09-20,,,,,101.599998
2022-09-21,,,,,101.550003
2022-09-22,,,106.700001,,101.199997
2022-09-23,,,106.700001,,101.25
2022-09-26,,,104.450001,,102.0
2022-09-27,,,102.75,,104.75
2022-09-28,,,101.450001,,106.699997
2022-09-29,,,101.450001,,106.099998
2022-09-30,,,101.450001,,104.699997
2022-10-03,,,101.450001,,107.550003
2022-10-04,,,101.450001,,108.699997
2022-10-06,,,101.450001,,108.550003
2022-10-07,,,99.7249985,,106.550003
2022-10-10,,,99.4000015,,105.849998
2022-10-11,,,99.4000015,,105.5
2022-10-12,,,99.75,,104.25
2022-10-13,,,99.75,,105.199997
2022-10-14,,,100.9000015,,105.449997
2022-10-17,,,100.9500005,,105.5
2022-10-18,,,100.9500005,102.700001,106.199997
2022-10-19,,,100.875,102.700001,104.900002
2022-10-20,,,100.875,102.700001,106.099998
2022-10-21,,,100.875,102.0,107.650002
2022-10-24,,,100.4500005,101.450001,110.75
2022-10-25,,,100.4500005,101.450001,112.0
2022-10-27,,,101.375,101.450001,115.849998
2022-10-28,,,101.375,101.450001,112.949997
2022-10-31,,,101.7250025,101.450001,111.199997
2022-11-01,,,101.6000025,101.450001,111.849998
2022-11-02,,,101.6000025,99.825001,110.449997
2022-11-03,,,101.6000025,99.825001,111.699997
2022-11-04,,,101.7750015,100.0,111.199997
2022-11-07,,,103.0,101.574997,113.050003
2022-11-09,,,103.050003,101.625,110.949997
2022-11-10,,,103.050003,102.7750015,111.050003
2022-11-11,,,103.375,103.1499975,111.800003
2022-11-14,,,104.2750015,104.049999,110.949997
2022-11-15,,,105.0,104.049999,109.400002
2022-11-16,,,105.0,104.049999,107.650002
2022-11-17,,,106.0999985,104.049999,102.25
2022-11-18,,,107.2249985,104.049999,105.0
2022-11-21,,,106.924999,104.049999,111.150002
2022-11-22,,,106.7750015,104.049999,110.0
2022-11-23,,,106.7750015,104.049999,111.75
2022-11-24,,,106.7750015,104.2750015,112.650002
2022-11-25,101.82500075,,106.4500005,104.2750015,119.25
2022-11-28,101.7875005,,106.175003,104.2750015,118.449997
2022-11-29,101.7875005,,105.625,104.2750015,115.75
2022-11-30,101.4375,,105.75,104.2750015,116.550003
2022-12-01,100.95000075,,107.425003,104.925003,115.650002
2022-12-02,100.95000075,,108.0250015,105.5250015,117.550003
2022-12-05,101.4125005,,110.299999,107.3250005,118.849998
2022-12-06,101.4125005,,110.299999,107.3250005,118.849998
2022-12-07,101.58750175,,110.299999,107.3250005,118.099998
2022-12-08,101.52500175,,110.299999,108.049999,120.449997
2022-12-09,100.71250175,,110.5249975,108.049999,119.949997
2022-12-12,100.71250175,,111.0,109.1499975,119.349998
2022-12-13,100.88750075,,112.049999,109.8250005,122.449997
2022-12-14,102.2874985,,112.3999975,109.8250005,123.550003
2022-12-15,102.3375015,,112.3999975,109.8250005,122.949997
2022-12-16,102.91250225,,112.0249975,109.8250005,122.0
2022-12-19,103.26249874999999,,111.2249985,109.8250005,120.400002
2022-12-20,104.16250025,,111.2249985,109.8250005,121.0
2022-12-21,104.5249995,,111.2249985,109.8250005,120.650002
2022-12-22,104.5249995,,109.8999975,109.8250005,118.75
2022-12-23,105.07499874999999,,107.699997,109.0249975,119.699997
2022-12-26,105.63749874999999,,107.5499995,108.875,122.050003
2022-12-27,105.487499,,107.5499995,108.875,119.949997
2022-12-28,105.41250025,,106.9750025,108.875,120.349998
2022-12-29,105.41250025,,106.9750025,108.875,117.449997
2022-12-30,105.5250015,,108.200001,108.875,111.449997
2023-01-02,105.36250100000001,102.700001,110.6749995,110.6749995,111.449997
2023-01-03,105.22500225,102.700001,111.075001,111.075001,111.25
2023-01-04,104.95000075,102.700001,111.075001,111.075001,108.800003
2023-01-05,105.01250075,102.5,111.075001,111.075001,108.75
2023-01-06,106.175003,103.1500015,113.174999,111.075001,109.25
2023-01-09,106.7750015,103.75,114.674999,111.075001,110.300003
2023-01-10,108.81249975,105.549999,114.674999,111.075001,112.0
2023-01-11,108.81249975,105.549999,116.299999,111.075001,112.25
2023-01-12,108.81249975,105.549999,117.125,111.075001,112.349998
2023-01-13,109.174999,105.549999,118.049999,111.625,113.150002
2023-01-16,109.28749825,105.549999,118.049999,111.625,111.150002
2023-01-17,110.07499874999999,105.549999,118.049999,111.625,112.050003
2023-01-18,110.93749975,105.549999,119.125,112.325001,109.75
2023-01-19,111.112499,105.8999975,120.425003,112.9750025,106.099998
2023-01-20,111.112499,105.8999975,120.925003,112.9750025,103.949997
2023-01-23,110.924999,107.049999,120.9500005,112.9750025,105.5
2023-01-24,110.5249995,107.099998,120.9500005,112.9750025,104.650002
2023-01-25,110.5249995,107.099998,121.1500015,112.9750025,107.0
2023-01-27,110.5249995,107.099998,121.1500015,112.9750025,105.650002
2023-01-30,109.862499,107.099998,120.6000025,112.9750025,106.5
2023-01-31,108.36249724999999,107.099998,120.6000025,112.9750025,108.199997
2023-02-01,108.21249975,107.099998,120.6000025,115.0750005,108.099998
