,ISA_9,ISB_26
2023-09-12,118.262501,114.2250025
2023-09-13,119.262501,114.2250025
2023-09-14,119.262501,114.5499995
2023-09-15,119.11250150000001,114.875
2023-09-18,119.11250150000001,114.875
2023-09-19,119.11250150000001,114.875
2023-09-20,118.900002,114.9750025
2023-09-21,118.73750150000001,115.325001
2023-09-22,118.56250025,115.9750025
2023-09-25,118.64999975,116.125
2023-09-26,118.64999975,116.125
2023-09-27,118.64999975,116.125
2023-09-28,118.64999975,116.125
2023-09-29,118.64999975,116.125
2023-10-02,118.39999975,116.125
2023-10-03,118.32499874999999,116.125
2023-10-04,118.33749975,116.125
2023-10-05,118.98749925,116.125
2023-10-06,119.57499874999999,116.125
2023-10-09,122.14999775,118.3999975
2023-10-10,124.2999955,120.499996
2023-10-11,124.2999955,120.499996
2023-10-12,124.2999955,120.499996
2023-10-13,124.37499625,120.499996
2023-10-16,124.56249625,121.524998
2023-10-17,125.18749625,121.649998
