Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,108.699997,0.02,1,107.75
2022-09-14,105.800003,,0.02,1,107.75
2022-09-15,105.800003,,0.02,0,109.150002
2022-09-16,,110.400002,0.02,1,109.10700196
2022-09-19,,110.29200196000001,0.04,0,108.9707217616
2022-09-20,,110.0003218816,0.04,0,108.618478335904
2022-09-21,,109.720309006336,0.04,0,108.17699990903168
2022-09-22,,109.45149664608256,0.04,0,107.66929971812851
2022-09-23,,109.19343678023925,0.04,0,107.12098351195309
2022-09-26,,108.94569930902968,0.06,0,106.55804554027965
2022-09-27,,108.31895735048789,0.08,0,105.4847579338349
2022-09-28,,107.37344076244887,0.1,0,104.07450186574462
2022-09-29,,106.13609668620398,0.1,0,102.29960089259569
2022-09-30,,105.02248701758359,0.1,0,100.87968011407655
2022-10-03,,104.02023831582522,0.1,0,99.74374349126124
2022-10-04,,103.1182144842427,0.1,0,95.199997
2022-10-06,95.0,,0.02,1,95.7949975
2022-10-07,95.17600006,,0.02,0,96.72559815999999
2022-10-10,95.34848011880001,,0.02,0,97.68101483759999
2022-10-11,95.51751057642402,,0.02,0,98.62005294358399
2022-10-12,95.68316042489553,,0.02,0,99.50744395373887
2022-10-13,95.84549727639762,,0.02,0,103.550003
2022-10-14,96.00458739086967,,0.02,0,103.48100290000001
2022-10-17,96.16049570305228,,0.02,0,103.34576270400001
2022-10-18,96.31328584899123,,0.02,0,103.11801712176
2022-10-19,96.4630201920114,,0.02,0,102.8325759920192
2022-10-20,96.60975984817117,,0.02,0,102.50431869281728
2022-10-21,96.75356471120774,,0.02,0,102.1498008096792
2022-10-24,96.89449347698358,,0.02,0,101.78582911632412
2022-10-25,97.03260366744391,,0.02,0,101.42809693771227
2022-10-27,97.16795165409503,,0.04,0,99.550003
2022-10-28,97.46723366793124,,0.04,0,99.73600276
2022-10-31,97.75454440121399,,0.04,0,100.0038424144
2022-11-01,98.03036270516543,,0.04,0,100.33953478124799
2022-11-02,98.29514827695881,,0.04,0,100.7255810031232
2022-11-03,98.54934242588045,,0.04,0,101.14251092274841
2022-11-04,98.79336880884523,,0.06,0,101.57055897356364
2022-11-07,99.16576668031452,,0.08,0,102.07926953779345
2022-11-09,99.82850510588936,,0.1,0,102.91100048099062
2022-11-10,100.60065489530042,,0.1,0,103.6687997847925
2022-11-11,101.29558970577038,,0.12000000000000001,0,104.275039227834
2022-11-14,102.12411858107794,,0.14,0,104.9300319822672
2022-11-15,103.22674197972702,,0.14,0,105.68402498581375
