Date,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,PSAR
2022-09-12,,,0.02,0,
2022-09-13,,426.0,0.02,1,422.0
2022-09-14,,426.0,0.04,0,422.649994
2022-09-15,,426.0,0.04,0,422.39599376
2022-09-16,,425.32,0.06,0,421.9552334144
2022-09-19,,423.81280072,0.08,0,420.330814261248
2022-09-20,,421.6677766624,0.08,0,418.4627322351232
2022-09-21,,419.694354529408,0.08,0,416.44520364690845
2022-09-22,,417.87880616705536,0.1,0,414.2478751363413
2022-09-23,,415.5909255503498,0.12000000000000001,0,411.6402170345267
2022-09-26,,412.95801376430785,0.14,0,408.5279790483119
2022-09-27,,408.9878926773047,0.14,0,405.6923844386495
2022-09-28,,405.57358854248207,0.14,0,403.4239087509196
2022-09-29,,402.6372869865346,0.14,0,401.6091282007357
2022-09-30,,401.899994,0.14,0,399.8473001605886
2022-10-03,,401.899994,0.14,0,398.43783772847087
2022-10-04,384.600006,,0.02,1,392.799988
2022-10-06,385.02800588,,0.04,0,393.05398823999997
2022-10-07,386.1468856448,,0.04,0,393.73782847039996
2022-10-10,387.221010219008,,0.06,0,394.722558402176
2022-10-11,388.7977496058675,,0.08,0,396.0487527700019
2022-10-12,391.1259291573981,,0.08,0,397.5738762930017
2022-10-13,,417.899994,0.02,1,411.299988
2022-10-14,,417.10399424,0.04,0,410.65598836
2022-10-17,,415.46983447040003,0.06,0,409.3217483456
2022-10-18,,412.885644042176,0.06,0,407.268443804864
2022-10-19,,410.45650503964544,0.06,0,404.6949687804749
2022-10-20,,408.1731143772667,0.06,0,401.7354725024274
2022-10-21,,406.0267271546307,0.06,0,398.5392165221361
2022-10-24,,404.00912316535283,0.06,0,395.25772704903704
2022-10-25,,402.11257541543165,0.06,0,392.0324916811911
2022-10-27,,400.32982053050574,0.06,0,388.98464425857674
2022-10-28,,398.6540309386754,0.06,0,386.20771660686137
2022-10-31,,397.0787887223549,0.06,0,375.100006
2022-11-01,,395.5980610390136,0.06,0,375.78700492
2022-11-02,372.399994,,0.02,1,377.1160440464
2022-11-03,372.84899423999997,,0.02,0,378.79944084176003
2022-11-04,373.28901447519996,,0.02,0,380.61750938074886
2022-11-07,373.72023430569595,,0.02,0,382.484059747444
2022-11-09,374.14282973958206,,0.02,0,384.31861210785297
2022-11-10,374.55697326479043,,0.02,0,386.0522640884394
2022-11-11,374.96283391949464,,0.04,0,387.6318136707515
2022-11-14,376.1983208027149,,0.04,0,390.0454533366012
2022-11-15,377.3843882106063,,0.04,0,391.976365069281
2022-11-16,378.52301292218203,,0.04,0,393.52109445542476
2022-11-17,379.61609264529477,,0.04,0,394.7568779643398
2022-11-18,380.665449179483,,0.04,0,399.700012
2022-11-21,381.6728314523037,,0.04,0,399.46601176
2022-11-22,382.63991843421155,,0.04,0,398.8170506944
2022-11-23,383.56832193684306,,0.04,0,398.003686158848
2022-11-24,384.4595892993693,,0.04,0,388.649994
2022-11-25,385.31520596739455,,0.04,0,389.03399423999997
2022-11-28,386.13659796869877,,0.06,0,389.85995386559995
2022-11-29,387.53540281057684,,0.06,0,391.12315707635196
2022-11-30,388.8502793619422,,0.06,0,392.5758407687168
2022-12-01,390.08626332022567,,0.08,0,394.29473915647077
2022-12-02,392.18736273460763,,0.08,0,397.0114773545649
2022-12-05,394.120374195839,,0.08,0,399.6816428978345
2022-12-06,395.8987447401719,,0.08,0,402.2049493362243
2022-12-07,397.5348456409581,,0.08,0,404.50396186897945
2022-12-08,399.04005846968147,,0.08,0,413.700012
2022-12-09,,416.350006,0.02,1,412.900012
2022-12-12,,415.84800588,0.04,0,411.0150096
2022-12-13,,414.7340856448,0.04,0,408.979207008
2022-12-14,,413.664722219008,0.04,0,406.88911634688
2022-12-15,,412.6381333302477,0.04,0,404.83485581137916
2022-12-16,,411.65260799703776,0.04,0,402.8935796053309
2022-12-19,,410.70650367715626,0.06,0,400.2648636842647
2022-12-20,,409.2061141765269,0.08,0,398.0218885474118
2022-12-21,,407.10962504240473,0.08,0,396.20751323792945
2022-12-22,,405.18085503901233,0.08,0,394.75601299034355
2022-12-23,,403.40638663589135,0.1,0,393.5548103922748
2022-12-26,,400.7657479723022,0.12000000000000001,0,390.37384711381986
2022-12-27,,397.82985677562596,0.12000000000000001,0,387.8290764910559
2022-12-28,,395.24627252255084,0.12000000000000001,0,377.649994
2022-12-29,,392.97271837984476,0.12000000000000001,0,378.86799328
2022-12-30,376.299988,,0.02,1,380.5314742208
2023-01-02,376.69998799999996,,0.02,0,382.48643834547204
2023-01-03,377.09198799999996,,0.04,0,384.3878772832871
2023-01-04,377.91830847999995,,0.04,0,386.92029942662964
2023-01-05,378.71157614079993,,0.04,0,397.049988
2023-01-06,379.47311309516795,,0.04,0,396.64398824
2023-01-09,380.2041885713612,,0.04,0,395.7653489456
2023-01-10,380.90602102850676,,0.04,0,394.664121029952
2023-01-11,381.5797801873665,,0.04,0,382.0
2023-01-12,382.22658897987185,,0.06,0,382.47400024
2023-01-13,383.16699328107956,,0.06,0,383.1955602256
2023-01-16,384.0509733242148,,0.08,0,384.099915407552
2023-01-17,385.40689545827763,,0.1,0,385.54992446679677
2023-01-18,387.07120471244986,,0.12000000000000001,0,387.11593425078115
2023-01-19,389.08466086695586,,0.14,0,389.36770513567177
2023-01-20,391.17280834558204,,0.16,0,391.6128713539643
2023-01-23,393.44915805028893,,0.18,0,393.73455343025074
2023-01-24,396.0233096012369,,0.19999999999999998,0,396.3876427442006
2023-01-25,398.85865008098955,,0.19999999999999998,0,398.5101141953605
2023-01-27,,410.200012,0.02,1,407.0
2023-01-30,,409.880012,0.02,0,406.82099976
2023-01-31,,409.566412,0.02,0,406.4701592896
2023-02-01,,409.25908400000003,0.02,0,405.964949012224
2023-02-02,394.200012,,0.02,1,398.049988
2023-02-03,394.51601176,,0.04,0,398.27798848
2023-02-06,395.2553712896,,0.04,0,398.72486942079996
2023-02-07,395.96515643801604,,0.04,0,399.368377975552
2023-02-08,396.6465501804954,,0.04,0,400.1749086975078
2023-02-09,397.3006881732756,,0.04,0,401.10241902775704
2023-02-10,397.92866064634455,,0.04,0,402.1041301844262
2023-02-13,398.53151422049075,,0.04,0,409.450012
2023-02-14,399.11025365167114,,0.04,0,409.09601176
2023-02-15,399.200012,,0.04,0,408.5862514144
2023-02-16,399.75201152,,0.06,0,400.600006
2023-02-17,400.350006,,0.06,0,401.15800528
2023-02-20,401.12400564,,0.06,0,401.8573643776
2023-02-21,401.85156530160003,,0.06,0,402.66162733984
2023-02-22,,413.25,0.02,1,409.899994
2023-02-23,,412.87400024,0.04,0,409.604994
2023-02-24,,412.0950399904,0.06,0,408.97879472
2023-02-27,,410.922336870976,0.08,0,408.0380663168
2023-02-28,,408.8845508812979,0.08,0,406.623021491456
2023-03-01,,407.0097877707941,0.08,0,404.66571814231037
2023-03-02,,405.2850057091306,0.08,0,402.55183052523313
2023-03-03,,403.6982062124001,0.08,0,400.3815725717005
2023-03-06,,402.2383506754081,0.08,0,398.2485190402284
2023-03-08,,400.89528358137545,0.08,0,396.2327834529873
2023-03-09,,399.6596618548654,0.08,0,394.39622436238983
2023-03-10,,398.5228898664762,0.08,0,392.9269770899119
2023-03-13,,397.4770596371581,0.1,0,391.7515792719295
2023-03-14,,396.1043536734423,0.12000000000000001,0,390.4912658175436
2023-03-15,,393.8538319526292,0.14,0,388.2830150540349
2023-03-16,,391.20029463926113,0.16,0,385.7764120432279
2023-03-17,,387.80824749697933,0.16,0,383.1911308345823
2023-03-20,,384.9589278974626,0.18,0,381.12290586766585
2023-03-21,,381.39331979591935,0.18,0,378.3283234941327
2023-03-22,,378.4695211526539,0.18,0,375.9426575953062
2023-03-23,,376.0720062651762,0.19999999999999998,0,374.03412487624496
2023-03-24,,372.927606212141,0.19999999999999998,0,371.52729990099596
2023-03-27,,370.4120861697128,0.2,0,369.52183992079676
2023-03-28,,368.1696713357702,0.2,0,367.8674719366374
